Submitter Title|Submitter Response|Category
Information Security Analyst|Anti Malware|Anti - Virus
Vice President and Chief Information Security Officer|APT chasers|Anti - Virus
IT Architect|APTs|Anti - Virus
Manager in Security Organization|Dynamic detection of malware|Anti - Virus
CISO, CSO or Head of Security Organization|malware|Anti - Virus
Chief Information Security Officer|malware detection|Anti - Virus
Director IT Governance Risk & Compliance|Malware protection on mobile devices|Anti - Virus
Chief Information Security Officer|Application development|Application Security
Director of Security|Application Security|Application Security
Information Security Solution Subject Matter Expert|Application Security|Application Security
Senior Manager Security Intelligence & Operations|Application Security|Application Security
Interim Chief Executive Officer|application security remediation|Application Security
Chief Information Security Officer|browser / web browsing security|Application Security
Director|Database/Application Security|Application Security
Individual Contributor|Developer tools|Application Security
Sr. Mgr Information Security Management|Product Security|Application Security
Principal Security Consultant|Remediation / Application Security|Application Security
Innovation in security|SecDevOps|Application Security
Chief Information Security Officer|Security integration within SDLC|Application Security
Software|Code analysis|Application Security
VP - IT Risk Management|awareness and traininig|Awareness and Education
Director|Awareness, Behvaiours and Cultural Change|Awareness and Education
Chief Information Security Officer|Just in time security training and awareness|Awareness and Education
VP Security Strategy and Architecture|Personnel|Awareness and Ed ucation
Chief Information Security Officer|security awareness / human security|Awareness and Education
Enterprise Information Security Architect|Security awareness and role - specific training|Awareness and Education
Chief Information Security Officer (CISO)|user behavior modification / at - time - of - incident training|Awareness and Education
Security Specialist resp. Information Security department|user education|Awareness and Education
Senior Manager Cyber Intelligence & Response Team|User education|Awareness and Education
Individual Contributor|bring your own device|BYOD
Chief Information Assurance Officer|BYOD-non-corporate managed devices in the workplace and at home; perisitent corporate data on the BYOD endpoint|BYOD
Chief Security Officer|Cloud|Cloud Security
Assistant VP Information Security|Cloud|Cloud Security
Senior Director Technology Information Security|cloud|Cloud Security
Network and Security Engineer|Cloud communication/storage|Cloud Security
Director IT Governance Risk & Compliance|Cloud data loss protection|Cloud Security
Senior Manager Information Security|cloud security|Cloud Security
Information Security|Cloud security|Cloud Security
Sr. Manager of Information Security|Cloud Security|Cloud Security
Security Engineer|cloud security|Cloud Security
CISO, CSO or Head of Security Organization|Cloud security|Cloud Security
Vice President Security & Compliance|Cloud Security|Cloud Security
Security Specialist resp. Information Security department|cloud services|Cloud Security
Information Security Analyst|Shadow Cloud Mitigation|Cloud Security
Chief Security Officer|Compliance|Compliance
Director Security Engineering|compliance|Compliance
CISO, CSO or Head of Security Organization|Compliance|Compliance
Interim Chief Executive Officer|warrantees for security products and services|Cyber Insurance
Chief Cybersecurity Technologist|Better mechanisms for data classification and enforcement of those classifications|Data Protection
Senior Security Architect|data|Data Protection
